--------------------   Cyclic Coordinate   --------------------

+-----+------------------------+---+---------+------------------------+-----------+------------------------+
|  k  |         x f(x)         | j |    d    |          y(j)          |   landa   |         y(j+1)         |
|  6  |       -27.419542       | 2 | (6.640644 , 34.001883) | -27.420677 | (-0.931674 , -0.363296) |  0.000682 | (6.640892 , 34.001247) | -27.420664 |
|  7  | (6.640892 , 34.001247) | 1 | (6.640892 , 34.001247) | -27.420664 |  (0.258905 , -0.965903) | -0.000529 | (6.640755 , 34.001759) | -27.420669 |
|  7  |       -27.420664       | 2 | (6.640755 , 34.001759) | -27.420669 | (-0.965903 , -0.258905) |  0.000764 | (6.640953 , 34.001021) | -27.420658 |
|  8  | (6.640953 , 34.001021) | 1 | (6.640953 , 34.001021) | -27.420658 |  (-0.941307 , 0.337552) |  0.000830 | (6.640171 , 34.001302) | -27.420730 |
|  8  |       -27.420658       | 2 | (6.640171 , 34.001302) | -27.420730 | (-0.337552 , -0.941307) |  0.012278 | (6.628614 , 34.005446) | -27.405132 |
|  9  | (6.628614 , 34.005446) | 1 | (6.628614 , 34.005446) | -27.405132 | (-0.400300 , -0.916384) | -0.050173 | (6.648698 , 34.051424) | -27.417665 |
|  9  |       -27.405132       | 2 | (6.648698 , 34.051424) | -27.417665 |  (0.916384 , -0.400300) |  0.001400 | (6.648138 , 34.050141) | -27.417656 |
|  10 | (6.648138 , 34.050141) | 1 | (6.648138 , 34.050141) | -27.417656 |  (0.425696 , 0.904866)  |  0.001885 | (6.648940 , 34.051847) | -27.417677 |
|  10 |       -27.417656       | 2 | (6.648940 , 34.051847) | -27.417677 |  (0.904866 , -0.425696) |  0.001242 | (6.649469 , 34.052971) | -27.417667 |
|  11 | (6.649469 , 34.052971) | 1 | (6.649469 , 34.052971) | -27.417667 |  (0.853359 , 0.521323)  |  0.000775 | (6.650131 , 34.053375) | -27.417702 |
|  11 |       -27.417667       | 2 | (6.650131 , 34.053375) | -27.417702 |  (0.521323 , -0.853359) |  0.000874 | (6.650877 , 34.053831) | -27.417662 |
|  12 | (6.650877 , 34.053831) | 1 | (6.650877 , 34.053831) | -27.417662 |  (0.956212 , -0.292676) | -0.000355 | (6.650537 , 34.053935) | -27.417673 |
|  12 |       -27.417662       | 2 | (6.650537 , 34.053935) | -27.417673 | (-0.292676 , -0.956212) |  0.026909 | (6.676268 , 34.046059) | -27.353137 |
|  13 | (6.676268 , 34.046059) | 1 | (6.676268 , 34.046059) | -27.353137 | (-0.305263 , -0.952268) |  0.248846 | (6.600304 , 33.809091) | -27.429754 |
|  13 |       -27.353137       | 2 | (6.600304 , 33.809091) | -27.429754 |  (0.952268 , -0.305263) |  0.001723 | (6.599778 , 33.807450) | -27.429750 |
|  14 | (6.599778 , 33.807450) | 1 | (6.599778 , 33.807450) | -27.429750 | (-0.298662 , -0.954359) | -0.000852 | (6.600033 , 33.808263) | -27.429751 |
|  14 |       -27.429750       | 2 | (6.600033 , 33.808263) | -27.429751 |  (0.954359 , -0.298662) |  0.001824 | (6.599488 , 33.806523) | -27.429747 |
|  15 | (6.599488 , 33.806523) | 1 | (6.599488 , 33.806523) | -27.429747 |  (0.991080 , 0.133270)  |  0.002069 | (6.601539 , 33.806798) | -27.430130 |
|  15 |       -27.429747       | 2 | (6.601539 , 33.806798) | -27.430130 |  (0.133270 , -0.991080) |  0.001969 | (6.603490 , 33.807061) | -27.429778 |
|  16 | (6.603490 , 33.807061) | 1 | (6.603490 , 33.807061) | -27.429778 |  (0.809914 , -0.586549) | -0.001848 | (6.601993 , 33.808144) | -27.430072 |
|  16 |       -27.429778       | 2 | (6.601993 , 33.808144) | -27.430072 | (-0.586549 , -0.809914) |  0.001362 | (6.603096 , 33.807346) | -27.429909 |
|  17 | (6.603096 , 33.807346) | 1 | (6.603096 , 33.807346) | -27.429909 | (-0.999966 , -0.008278) |  0.001437 | (6.601659 , 33.807334) | -27.430108 |
|  17 |       -27.429909       | 2 | (6.601659 , 33.807334) | -27.430108 |  (0.008278 , -0.999966) |  0.004903 | (6.596756 , 33.807293) | -27.427745 |
|  18 | (6.596756 , 33.807293) | 1 | (6.596756 , 33.807293) | -27.427745 | (-0.273253 , -0.961942) | -0.028559 | (6.604560 , 33.834765) | -27.428338 |
|  18 |       -27.427745       | 2 | (6.604560 , 33.834765) | -27.428338 |  (0.961942 , -0.273253) |  0.002490 | (6.603880 , 33.832370) | -27.428333 |
|  19 | (6.603880 , 33.832370) | 1 | (6.603880 , 33.832370) | -27.428333 |  (0.355770 , 0.934574)  |  0.008884 | (6.607040 , 33.840673) | -27.428564 |
|  19 |       -27.428333       | 2 | (6.607040 , 33.840673) | -27.428564 |  (0.934574 , -0.355770) |  0.001280 | (6.607496 , 33.841870) | -27.428560 |
|  20 | (6.607496 , 33.841870) | 1 | (6.607496 , 33.841870) | -27.428560 |  (0.485416 , 0.874283)  |  0.001177 | (6.608067 , 33.842899) | -27.428573 |
|  20 |       -27.428560       | 2 | (6.608067 , 33.842899) | -27.428573 |  (0.874283 , -0.485416) |  0.000775 | (6.608443 , 33.843576) | -27.428568 |
|  21 | (6.608443 , 33.843576) | 1 | (6.608443 , 33.843576) | -27.428568 |  (0.886285 , 0.463140)  |  0.000325 | (6.608731 , 33.843727) | -27.428574 |
|  21 |       -27.428568       | 2 | (6.608731 , 33.843727) | -27.428574 |  (0.463140 , -0.886285) |  0.000694 | (6.609346 , 33.844048) | -27.428545 |
|  22 | (6.609346 , 33.844048) | 1 | (6.609346 , 33.844048) | -27.428545 |  (0.795194 , -0.606355) | -0.000327 | (6.609087 , 33.844246) | -27.428552 |
|  22 |       -27.428545       | 2 | (6.609087 , 33.844246) | -27.428552 | (-0.606355 , -0.795194) |  0.001143 | (6.609996 , 33.843553) | -27.428452 |
|  23 | (6.609996 , 33.843553) | 1 | (6.609996 , 33.843553) | -27.428452 | (-0.801468 , -0.598038) |  0.001998 | (6.608394 , 33.842358) | -27.428632 |
|  23 |       -27.428452       | 2 | (6.608394 , 33.842358) | -27.428632 |  (0.598038 , -0.801468) |  0.000554 | (6.607950 , 33.842027) | -27.428618 |
|  24 | (6.607950 , 33.842027) | 1 | (6.607950 , 33.842027) | -27.428618 | (-0.612399 , -0.790549) | -0.000409 | (6.608201 , 33.842350) | -27.428621 |
|  24 |       -27.428618       | 2 | (6.608201 , 33.842350) | -27.428621 |  (0.790549 , -0.612399) |  0.000583 | (6.607843 , 33.841889) | -27.428614 |
|  25 | (6.607843 , 33.841889) | 1 | (6.607843 , 33.841889) | -27.428614 |  (0.998877 , -0.047382) |  0.000647 | (6.608490 , 33.841859) | -27.428657 |
|  25 |       -27.428614       | 2 | (6.608490 , 33.841859) | -27.428657 | (-0.047382 , -0.998877) |  0.009870 | (6.618349 , 33.841391) | -27.419476 |
|  26 | (6.618349 , 33.841391) | 1 | (6.618349 , 33.841391) | -27.419476 |  (0.018107 , -0.999836) | -0.040888 | (6.617609 , 33.882272) | -27.426718 |
|  26 |       -27.419476       | 2 | (6.617609 , 33.882272) | -27.426718 | (-0.999836 , -0.018107) |  0.001104 | (6.617629 , 33.881169) | -27.426712 |
|  27 | (6.617629 , 33.881169) | 1 | (6.617629 , 33.881169) | -27.426712 |  (-0.045079 , 0.998983) |  0.001487 | (6.617562 , 33.882654) | -27.426725 |
|  27 |       -27.426712       | 2 | (6.617562 , 33.882654) | -27.426725 | (-0.998983 , -0.045079) |  0.001026 | (6.617516 , 33.883679) | -27.426719 |
|  28 | (6.617516 , 33.883679) | 1 | (6.617516 , 33.883679) | -27.426719 |  (-0.604282 , 0.796770) |  0.000623 | (6.617139 , 33.884175) | -27.426743 |
|  28 |       -27.426719       | 2 | (6.617139 , 33.884175) | -27.426743 | (-0.796770 , -0.604282) |  0.000703 | (6.616715 , 33.884735) | -27.426717 |
|  29 | (6.616715 , 33.884735) | 1 | (6.616715 , 33.884735) | -27.426717 |  (-0.997097 , 0.076141) | -0.000251 | (6.616965 , 33.884716) | -27.426724 |
|  29 |       -27.426717       | 2 | (6.616965 , 33.884716) | -27.426724 | (-0.076141 , -0.997097) |  0.016056 | (6.600956 , 33.885938) | -27.399265 |
|  30 | (6.600956 , 33.885938) | 1 | (6.600956 , 33.885938) | -27.399265 | (-0.060528 , -0.998166) |  0.128851 | (6.593157 , 33.757323) | -27.431855 |
|  30 |       -27.399265       | 2 | (6.593157 , 33.757323) | -27.431855 |  (-0.998166 , 0.060528) |  0.001377 | (6.593073 , 33.755949) | -27.431852 |
|  31 | (6.593073 , 33.755949) | 1 | (6.593073 , 33.755949) | -27.431852 | (-0.071190 , -0.997463) | -0.000602 | (6.593116 , 33.756550) | -27.431852 |
|  31 |       -27.431852       | 2 | (6.593116 , 33.756550) | -27.431852 |  (-0.997463 , 0.071190) |  0.001487 | (6.593010 , 33.755066) | -27.431849 |
|  32 | (6.593010 , 33.755066) | 1 | (6.593010 , 33.755066) | -27.431849 |  (-0.897835 , 0.440331) |  0.001657 | (6.591523 , 33.755796) | -27.432098 |
|  32 |       -27.431849       | 2 | (6.591523 , 33.755796) | -27.432098 | (-0.440331 , -0.897835) |  0.002708 | (6.589091 , 33.756988) | -27.431394 |
|  33 | (6.589091 , 33.756988) | 1 | (6.589091 , 33.756988) | -27.431394 | (-0.844241 , -0.535964) | -0.003358 | (6.591926 , 33.758788) | -27.431987 |
|  33 |       -27.431394       | 2 | (6.591926 , 33.758788) | -27.431987 |  (0.535964 , -0.844241) |  0.000506 | (6.591499 , 33.758517) | -27.431975 |
|  34 | (6.591499 , 33.758517) | 1 | (6.591499 , 33.758517) | -27.431975 |  (0.914681 , 0.404177)  |  0.000506 | (6.591962 , 33.758721) | -27.431991 |
|  34 |       -27.431975       | 2 | (6.591962 , 33.758721) | -27.431991 |  (0.404177 , -0.914681) |  0.000631 | (6.592539 , 33.758976) | -27.431962 |
|  35 | (6.592539 , 33.758976) | 1 | (6.592539 , 33.758976) | -27.431962 |  (0.887441 , -0.460922) | -0.000367 | (6.592214 , 33.759145) | -27.431975 |
|  35 |       -27.431962       | 2 | (6.592214 , 33.759145) | -27.431975 | (-0.460922 , -0.887441) |  0.002388 | (6.594333 , 33.758045) | -27.431451 |
|  36 | (6.594333 , 33.758045) | 1 | (6.594333 , 33.758045) | -27.431451 | (-0.590251 , -0.807220) |  0.006467 | (6.590516 , 33.752824) | -27.432195 |
|  36 |       -27.431451       | 2 | (6.590516 , 33.752824) | -27.432195 |  (0.807220 , -0.590251) |  0.000506 | (6.590217 , 33.752416) | -27.432190 |
|  37 | (6.590217 , 33.752416) | 1 | (6.590217 , 33.752416) | -27.432190 | (-0.525490 , -0.850800) | -0.000340 | (6.590396 , 33.752705) | -27.432192 |
|  37 |       -27.432190       | 2 | (6.590396 , 33.752705) | -27.432192 |  (0.850800 , -0.525490) |  0.000594 | (6.590084 , 33.752200) | -27.432187 |
|  38 | (6.590084 , 33.752200) | 1 | (6.590084 , 33.752200) | -27.432187 |  (0.999455 , -0.033020) |  0.000647 | (6.590731 , 33.752178) | -27.432230 |
|  38 |       -27.432187       | 2 | (6.590731 , 33.752178) | -27.432230 | (-0.033020 , -0.999455) |  0.006939 | (6.597666 , 33.751949) | -27.427678 |
|  39 | (6.597666 , 33.751949) | 1 | (6.597666 , 33.751949) | -27.427678 |  (0.059983 , -0.998199) | -0.024078 | (6.596222 , 33.775984) | -27.431287 |
|  39 |       -27.427678       | 2 | (6.596222 , 33.775984) | -27.431287 | (-0.998199 , -0.059983) |  0.000772 | (6.596268 , 33.775214) | -27.431283 |
|  40 | (6.596268 , 33.775214) | 1 | (6.596268 , 33.775214) | -27.431283 |  (-0.091925 , 0.995766) |  0.000977 | (6.596178 , 33.776186) | -27.431291 |
|  40 |       -27.431283       | 2 | (6.596178 , 33.776186) | -27.431291 | (-0.995766 , -0.091925) |  0.000703 | (6.596114 , 33.776886) | -27.431287 |
|  41 | (6.596114 , 33.776886) | 1 | (6.596114 , 33.776886) | -27.431287 |  (-0.656115 , 0.754661) |  0.000359 | (6.595878 , 33.777157) | -27.431295 |
|  41 |       -27.431287       | 2 | (6.595878 , 33.777157) | -27.431295 | (-0.754661 , -0.656115) |  0.000623 | (6.595469 , 33.777627) | -27.431272 |
|  42 | (6.595469 , 33.777627) | 1 | (6.595469 , 33.777627) | -27.431272 | (-0.981580 , -0.191054) | -0.000305 | (6.595768 , 33.777685) | -27.431279 |
|  42 |       -27.431272       | 2 | (6.595768 , 33.777685) | -27.431279 |  (0.191054 , -0.981580) |  0.001350 | (6.594443 , 33.777427) | -27.431126 |
|  43 | (6.594443 , 33.777427) | 1 | (6.594443 , 33.777427) | -27.431126 |  (0.402428 , -0.915452) |  0.002735 | (6.595544 , 33.774924) | -27.431376 |
|  43 |       -27.431126       | 2 | (6.595544 , 33.774924) | -27.431376 | (-0.915452 , -0.402428) |  0.000475 | (6.595735 , 33.774489) | -27.431369 |
|  44 | (6.595735 , 33.774489) | 1 | (6.595735 , 33.774489) | -27.431369 |  (0.239826 , -0.970816) | -0.000265 | (6.595671 , 33.774747) | -27.431370 |
|  44 |       -27.431369       | 2 | (6.595671 , 33.774747) | -27.431370 | (-0.970816 , -0.239826) |  0.000556 | (6.595805 , 33.774207) | -27.431364 |
|  45 | (6.595805 , 33.774207) | 1 | (6.595805 , 33.774207) | -27.431364 |  (-0.979421 , 0.201826) |  0.000659 | (6.595159 , 33.774340) | -27.431406 |
|  45 |       -27.431364       | 2 | (6.595159 , 33.774340) | -27.431406 | (-0.201826 , -0.979421) |  0.422484 | (6.181370 , 33.859608) | 43.963253  |
|  46 | (6.181370 , 33.859608) | 1 | (6.181370 , 33.859608) | 43.963253  | (-0.203354 , -0.979105) | -8.999967 | (8.011545 , 42.671524) | 17.482678  |
|  46 |       43.963253        | 2 | (8.011545 , 42.671524) | 17.482678  |  (0.979105 , -0.203354) |  0.340429 | (7.942318 , 42.338209) | 18.175127  |
|  47 | (7.942318 , 42.338209) | 1 | (7.942318 , 42.338209) | 18.175127  |  (0.240217 , 0.970719)  |  1.999967 | (8.422744 , 44.279615) | -4.878321  |
|  47 |       18.175127        | 2 | (8.422744 , 44.279615) | -4.878321  |  (0.970719 , -0.240217) |  0.250213 | (8.482849 , 44.522502) | -6.779038  |
|  48 | (8.482849 , 44.522502) | 1 | (8.482849 , 44.522502) | -6.779038  |  (0.358864 , 0.933390)  |  1.283678 | (8.943515 , 45.720674) | -21.272982 |
|  48 |       -6.779038        | 2 | (8.943515 , 45.720674) | -21.272982 |  (0.933390 , -0.358864) |  0.020559 | (8.950893 , 45.739863) | -21.271062 |
|  49 | (8.950893 , 45.739863) | 1 | (8.950893 , 45.739863) | -21.271062 |  (0.373765 , 0.927523)  | -0.010490 | (8.946973 , 45.730133) | -21.271650 |
|  49 |       -21.271062       | 2 | (8.946973 , 45.730133) | -21.271650 |  (0.927523 , -0.373765) |  0.019019 | (8.954081 , 45.747774) | -21.269722 |
|  50 | (8.954081 , 45.747774) | 1 | (8.954081 , 45.747774) | -21.269722 |  (0.631668 , -0.775239) |  0.022939 | (8.968571 , 45.729991) | -21.311044 |
|  50 |       -21.269722       | 2 | (8.968571 , 45.729991) | -21.311044 |  (0.775239 , 0.631668)  | -0.011964 | (8.961014 , 45.739266) | -21.300158 |
|  51 | (8.961014 , 45.739266) | 1 | (8.961014 , 45.739266) | -21.300158 |  (0.201566 , -0.979475) |  0.039808 | (8.969037 , 45.700275) | -21.329412 |
|  51 |       -21.300158       | 2 | (8.969037 , 45.700275) | -21.329412 | (-0.979475 , -0.201566) |  0.011922 | (8.971441 , 45.688598) | -21.326990 |
|  52 | (8.971441 , 45.688598) | 1 | (8.971441 , 45.688598) | -21.326990 | (-0.087926 , -0.996127) |  0.282137 | (8.946633 , 45.407554) | -21.405917 |
|  52 |       -21.326990       | 2 | (8.946633 , 45.407554) | -21.405917 |  (-0.996127 , 0.087926) |  0.045075 | (8.942670 , 45.362654) | -21.404226 |
|  53 | (8.942670 , 45.362654) | 1 | (8.942670 , 45.362654) | -21.404226 | (-0.243975 , -0.969781) |  1.940411 | (8.469258 , 43.480879) | -22.984081 |
|  53 |       -21.404226       | 2 | (8.469258 , 43.480879) | -22.984081 |  (-0.969781 , 0.243975) | -0.049088 | (8.481234 , 43.528484) | -22.982782 |
|  54 | (8.481234 , 43.528484) | 1 | (8.481234 , 43.528484) | -22.982782 | (-0.219372 , -0.975641) |  1.221582 | (8.213254 , 42.336658) | -23.250898 |
|  54 |       -22.982782       | 2 | (8.213254 , 42.336658) | -23.250898 |  (0.975641 , -0.219372) |  0.077470 | (8.196259 , 42.261076) | -23.249751 |
|  55 | (8.196259 , 42.261076) | 1 | (8.196259 , 42.261076) | -23.249751 | (-0.157184 , -0.987569) |  1.999967 | (7.881897 , 40.285969) | -25.503160 |
|  55 |       -23.249751       | 2 | (7.881897 , 40.285969) | -25.503160 |  (0.987569 , -0.157184) |  0.003328 | (7.881374 , 40.282682) | -25.505069 |
|  56 | (7.881374 , 40.282682) | 1 | (7.881374 , 40.282682) | -25.505069 | (-0.155540 , -0.987830) |  1.951174 | (7.577889 , 38.355255) | -25.972698 |
|  56 |       -25.505069       | 2 | (7.577889 , 38.355255) | -25.972698 |  (0.987830 , -0.155540) | -0.073857 | (7.589376 , 38.428213) | -25.972245 |
|  57 | (7.589376 , 38.428213) | 1 | (7.589376 , 38.428213) | -25.972245 | (-0.192793 , -0.981239) |  1.999967 | (7.203796 , 36.465766) | -26.608396 |
|  57 |       -25.972245       | 2 | (7.203796 , 36.465766) | -26.608396 |  (-0.981239 , 0.192793) |  0.074093 | (7.189511 , 36.393063) | -26.626194 |
|  58 | (7.189511 , 36.393063) | 1 | (7.189511 , 36.393063) | -26.626194 | (-0.228988 , -0.973429) |  1.999967 | (6.731542 , 34.446237) | -27.386838 |
|  58 |       -26.626194       | 2 | (6.731542 , 34.446237) | -27.386838 |  (-0.973429 , 0.228988) |  0.003269 | (6.730793 , 34.443055) | -27.387205 |
|  59 | (6.730793 , 34.443055) | 1 | (6.730793 , 34.443055) | -27.387205 | (-0.230579 , -0.973054) |  0.308369 | (6.659690 , 34.142995) | -27.404855 |
|  59 |       -27.387205       | 2 | (6.659690 , 34.142995) | -27.404855 |  (-0.973054 , 0.230579) | -0.008308 | (6.661606 , 34.151079) | -27.404841 |
|  60 | (6.661606 , 34.151079) | 1 | (6.661606 , 34.151079) | -27.404841 | (-0.204289 , -0.978911) |  0.495075 | (6.560467 , 33.666445) | -27.417024 |
|  60 |       -27.404841       | 2 | (6.560467 , 33.666445) | -27.417024 |  (0.978911 , -0.204289) |  0.013106 | (6.557790 , 33.653616) | -27.417016 |
|  61 | (6.557790 , 33.653616) | 1 | (6.557790 , 33.653616) | -27.417016 | (-0.178313 , -0.983974) |  0.550501 | (6.459628 , 33.111937) | -27.437369 |
|  61 |       -27.417016       | 2 | (6.459628 , 33.111937) | -27.437369 |  (0.983974 , -0.178313) |  0.004327 | (6.458857 , 33.107679) | -27.437367 |
|  62 | (6.458857 , 33.107679) | 1 | (6.458857 , 33.107679) | -27.437367 | (-0.170573 , -0.985345) |  0.031408 | (6.453499 , 33.076731) | -27.437464 |
|  62 |       -27.437367       | 2 | (6.453499 , 33.076731) | -27.437464 |  (0.985345 , -0.170573) |  0.003540 | (6.452895 , 33.073242) | -27.437463 |
|  63 | (6.452895 , 33.073242) | 1 | (6.452895 , 33.073242) | -27.437463 | (-0.059140 , -0.998250) |  0.019953 | (6.451715 , 33.053324) | -27.438215 |
|  63 |       -27.437463       | 2 | (6.451715 , 33.053324) | -27.438215 |  (0.998250 , -0.059140) |  0.000694 | (6.451674 , 33.052631) | -27.438214 |
|  64 | (6.451674 , 33.052631) | 1 | (6.451674 , 33.052631) | -27.438214 | (-0.024399 , -0.999702) |  0.000251 | (6.451668 , 33.052381) | -27.438214 |
|  64 |       -27.438214       | 2 | (6.451668 , 33.052381) | -27.438214 |  (0.999702 , -0.024399) |  0.000554 | (6.451655 , 33.051826) | -27.438213 |
|  65 | (6.451655 , 33.051826) | 1 | (6.451655 , 33.051826) | -27.438213 |  (0.900840 , -0.434151) |  0.000399 | (6.452014 , 33.051653) | -27.438231 |
|  65 |       -27.438213       | 2 | (6.452014 , 33.051653) | -27.438231 |  (0.434151 , 0.900840)  |  0.001709 | (6.453553 , 33.050911) | -27.437976 |
|  66 | (6.453553 , 33.050911) | 1 | (6.453553 , 33.050911) | -27.437976 |  (0.627685 , 0.778467)  | -0.003007 | (6.451666 , 33.048571) | -27.438169 |
|  66 |       -27.437976       | 2 | (6.451666 , 33.048571) | -27.438169 |  (-0.778467 , 0.627685) |  0.000301 | (6.451855 , 33.048805) | -27.438167 |
|  67 | (6.451855 , 33.048805) | 1 | (6.451855 , 33.048805) | -27.438167 | (-0.702125 , -0.712054) |  0.000359 | (6.451603 , 33.048549) | -27.438171 |
|  67 |       -27.438167       | 2 | (6.451603 , 33.048549) | -27.438171 |  (-0.712054 , 0.702125) |  0.000230 | (6.451442 , 33.048386) | -27.438169 |
|  68 | (6.451442 , 33.048386) | 1 | (6.451442 , 33.048386) | -27.438169 | (-0.975149 , -0.221549) | -0.000045 | (6.451485 , 33.048396) | -27.438169 |
|  68 |       -27.438169       | 2 | (6.451485 , 33.048396) | -27.438169 |  (-0.221549 , 0.975149) |  0.000644 | (6.450857 , 33.048253) | -27.438136 |
|  69 | (6.450857 , 33.048253) | 1 | (6.450857 , 33.048253) | -27.438136 |  (-0.153380 , 0.988167) | -0.000810 | (6.450981 , 33.047453) | -27.438143 |
|  69 |       -27.438136       | 2 | (6.450981 , 33.047453) | -27.438143 | (-0.988167 , -0.153380) | -0.000340 | (6.451034 , 33.047116) | -27.438141 |
|  70 | (6.451034 , 33.047116) | 1 | (6.451034 , 33.047116) | -27.438141 |  (0.524233 , -0.851575) |  0.000059 | (6.451064 , 33.047066) | -27.438142 |
|  70 |       -27.438141       | 2 | (6.451064 , 33.047066) | -27.438142 |  (0.851575 , 0.524233)  |  0.000275 | (6.451208 , 33.046833) | -27.438138 |
|  71 | (6.451208 , 33.046833) | 1 | (6.451208 , 33.046833) | -27.438138 |  (0.942239 , 0.334942)  | -0.000025 | (6.451185 , 33.046824) | -27.438138 |
|  71 |       -27.438138       | 2 | (6.451185 , 33.046824) | -27.438138 |  (-0.334942 , 0.942239) |  0.000431 | (6.451591 , 33.046968) | -27.438125 |
|  72 | (6.451591 , 33.046968) | 1 | (6.451591 , 33.046968) | -27.438125 |  (-0.389005 , 0.921236) |  0.001026 | (6.451192 , 33.047913) | -27.438157 |
|  72 |       -27.438125       | 2 | (6.451192 , 33.047913) | -27.438157 |  (0.921236 , 0.389005)  |  0.000251 | (6.451094 , 33.048144) | -27.438155 |
|  73 | (6.451094 , 33.048144) | 1 | (6.451094 , 33.048144) | -27.438155 |  (-0.159154 , 0.987254) | -0.000074 | (6.451106 , 33.048071) | -27.438155 |
|  73 |       -27.438155       | 2 | (6.451106 , 33.048071) | -27.438155 |  (0.987254 , 0.159154)  |  0.000325 | (6.451054 , 33.048392) | -27.438154 |
|  74 | (6.451054 , 33.048392) | 1 | (6.451054 , 33.048392) | -27.438154 |  (0.997994 , -0.063310) |  0.000373 | (6.451427 , 33.048369) | -27.438168 |
|  74 |       -27.438154       | 2 | (6.451427 , 33.048369) | -27.438168 |  (0.063310 , 0.997994)  |  0.005337 | (6.456753 , 33.048031) | -27.435485 |
|  75 | (6.456753 , 33.048031) | 1 | (6.456753 , 33.048031) | -27.435485 |  (0.132776 , 0.991146)  |  0.099730 | (6.469995 , 33.146878) | -27.439612 |
|  75 |       -27.435485       | 2 | (6.469995 , 33.146878) | -27.439612 |  (-0.991146 , 0.132776) | -0.000932 | (6.469872 , 33.145954) | -27.439611 |
|  76 | (6.469872 , 33.145954) | 1 | (6.469872 , 33.145954) | -27.439611 |  (0.142033 , 0.989862)  |  0.003795 | (6.470411 , 33.149711) | -27.439616 |
|  76 |       -27.439611       | 2 | (6.470411 , 33.149711) | -27.439616 |  (0.989862 , -0.142033) |  0.001086 | (6.470565 , 33.150787) | -27.439615 |
|  77 | (6.470565 , 33.150787) | 1 | (6.470565 , 33.150787) | -27.439615 |  (0.408962 , 0.912551)  |  0.006040 | (6.473035 , 33.156299) | -27.439799 |
|  77 |       -27.439615       | 2 | (6.473035 , 33.156299) | -27.439799 |  (0.912551 , -0.408962) | -0.000263 | (6.472928 , 33.156059) | -27.439798 |
|  78 | (6.472928 , 33.156059) | 1 | (6.472928 , 33.156059) | -27.439798 |  (0.368871 , 0.929481)  |  0.000647 | (6.473166 , 33.156660) | -27.439800 |
|  78 |       -27.439798       | 2 | (6.473166 , 33.156660) | -27.439800 |  (-0.929481 , 0.368871) |  0.000313 | (6.473282 , 33.156952) | -27.439799 |
|  79 | (6.473282 , 33.156952) | 1 | (6.473282 , 33.156952) | -27.439799 |  (-0.072720 , 0.997352) |  0.002032 | (6.473134 , 33.158979) | -27.439828 |
|  79 |       -27.439799       | 2 | (6.473134 , 33.158979) | -27.439828 | (-0.997352 , -0.072720) | -0.000236 | (6.473151 , 33.158743) | -27.439828 |
|  80 | (6.473151 , 33.158743) | 1 | (6.473151 , 33.158743) | -27.439828 |  (0.042767 , 0.999085)  |  0.001400 | (6.473211 , 33.160141) | -27.439833 |
|  80 |       -27.439828       | 2 | (6.473211 , 33.160141) | -27.439833 |  (0.999085 , -0.042767) |  0.000355 | (6.473226 , 33.160496) | -27.439832 |
|  81 | (6.473226 , 33.160496) | 1 | (6.473226 , 33.160496) | -27.439832 |  (0.287078 , 0.957907)  |  0.009452 | (6.475940 , 33.169550) | -27.439916 |
|  81 |       -27.439832       | 2 | (6.475940 , 33.169550) | -27.439916 |  (0.957907 , -0.287078) | -0.000529 | (6.475788 , 33.169043) | -27.439916 |
|  82 | (6.475788 , 33.169043) | 1 | (6.475788 , 33.169043) | -27.439916 |  (0.233065 , 0.972461)  |  0.015741 | (6.479456 , 33.184350) | -27.439963 |
|  82 |       -27.439916       | 2 | (6.479456 , 33.184350) | -27.439963 |  (-0.972461 , 0.233065) |  0.001085 | (6.479709 , 33.185405) | -27.439963 |
|  83 | (6.479709 , 33.185405) | 1 | (6.479709 , 33.185405) | -27.439963 |  (0.165648 , 0.986185)  |  0.061140 | (6.489837 , 33.245700) | -27.440417 |
|  83 |       -27.439963       | 2 | (6.489837 , 33.245700) | -27.440417 |  (-0.986185 , 0.165648) | -0.000653 | (6.489729 , 33.245056) | -27.440417 |
|  84 | (6.489729 , 33.245056) | 1 | (6.489729 , 33.245056) | -27.440417 |  (0.176168 , 0.984360)  |  0.010394 | (6.491560 , 33.255288) | -27.440425 |
|  84 |       -27.440417       | 2 | (6.491560 , 33.255288) | -27.440425 |  (0.984360 , -0.176168) |  0.000829 | (6.491706 , 33.256104) | -27.440425 |
|  85 | (6.491706 , 33.256104) | 1 | (6.491706 , 33.256104) | -27.440425 |  (0.253832 , 0.967248)  |  0.016029 | (6.495775 , 33.271608) | -27.440529 |
|  85 |       -27.440425       | 2 | (6.495775 , 33.271608) | -27.440529 |  (0.967248 , -0.253832) | -0.000132 | (6.495741 , 33.271480) | -27.440529 |
|  86 | (6.495741 , 33.271480) | 1 | (6.495741 , 33.271480) | -27.440529 |  (0.245872 , 0.969302)  |  0.000399 | (6.495839 , 33.271867) | -27.440529 |
|  86 |       -27.440529       | 2 | (6.495839 , 33.271867) | -27.440529 |  (-0.969302 , 0.245872) |  0.000173 | (6.495882 , 33.272035) | -27.440529 |
|  87 | (6.495882 , 33.272035) | 1 | (6.495882 , 33.272035) | -27.440529 |  (-0.159529 , 0.987193) |  0.000539 | (6.495796 , 33.272567) | -27.440533 |
|  87 |       -27.440529       | 2 | (6.495796 , 33.272567) | -27.440533 | (-0.987193 , -0.159529) | -0.000045 | (6.495803 , 33.272523) | -27.440533 |
